K2001, SoundPro München GmbH, Leopoldstraße 21, München, DE, 80802, https://soundpro-muenchen.de, +49 89 4567890, info@soundpro-muenchen.de
511-5083-3310, Stagemaker SL10 508 m1 A20 500 kg D8 Plus, Stagemaker, 6
559-3065-0030, Green-GO BPX Beltpack, Green-GO, 10
505-4001-0200, MDG Atmosphere ATMe, MDG, 2
544-1611-0210, Vari-Lite VL2600 SE Wash Movinglight, Vari-Lite, 8
596-8002-0102, Theatrixx xVision Konverter Glasfaser S2 - 3G-SDI, Theatrixx, 5
K2002, LightExperts München, Brienner Straße 11, München, DE, 80333, https://lightexperts-muenchen.de, +49 89 3344556, kontakt@lightexperts-muenchen.de
511-5083-3331, Stagemaker SL10 1004 m2 A20 1.000 kg D8 Plus, Stagemaker, 4
559-3065-0135, Green-GO MCX 19" Rackstation, 1HE, Green-GO, 8
505-4002-0780, MDG Me8, MDG, 3
544-1613-0700, Vari-Lite VL3600 PROFILE IP Movinglight, Touringversion, Vari-Lite, 6
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 20
K2003, ProAV Berlin GmbH, Rosenthaler Straße 40, Berlin, DE, 10178, https://proav-berlin.de, +49 30 8765432, info@proav-berlin.de
511-5081-0237, SR1 324 M1-A20, Stagemaker, 5
559-3065-0145, Green-GO MCXD Tischstation, Green-GO, 12
498-3200-0065, SRS DC6-5-JR 6 Kanal DMX-Lichtstellpult, SRS, 3
599-3000-0160, Green Hippo Hippotizer TAGUS MX Medienserver, Green Hippo, 2
596-8002-0500, Theatrixx Konverter 4-fach DP1.2 auf Quad 3G-SDI, Theatrixx, 4
K2004, Licht & Technik Berlin, Kastanienallee 82, Berlin, DE, 10435, https://licht-technik-berlin.de, +49 30 2345678, kontakt@licht-technik-berlin.de
559-3065-0220, Green-GO STRIDE Antenne, Green-GO, 8
505-4002-0720, MDG Me2, MDG, 4
511-5083-3310, Stagemaker SL10 508 m1 A20 500 kg D8 Plus, Stagemaker, 3
544-1611-0210, Vari-Lite VL2600 SE Wash Movinglight, Vari-Lite, 10
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 15
K2005, HamburgerLichtundTon GmbH, Palmaille 124, Hamburg, DE, 22767, https://hamburger-lichtundton.de, +49 40 9988776, info@hamburger-lichtundton.de
559-3065-0906, Green-GO Si4WR 4-Draht Interface, Green-GO, 5
505-4090-1000, MDG theFAN, MDG, 2
599-3000-0051, Green Hippo Hippotizer Nevis+, Green Hippo, 3
596-8002-1070, Theatrixx Modulsystem Konverter 12G-SDI auf HDMI 2.0, Theatrixx, 4
K2006, Stage Systems Hamburg, Colonnaden 5, Hamburg, DE, 20354, https://stage-systems-hamburg.de, +49 40 8877665, info@stage-systems-hamburg.de
559-3065-0201, Green-GO WBPX Wireless Beltpack, Green-GO, 15
511-5083-3331, Stagemaker SL10 1004 m2 A20 1.000 kg D8 Plus, Stagemaker, 3
544-1613-0700, Vari-Lite VL3600 PROFILE IP Movinglight, Touringversion, Vari-Lite, 4
596-8002-0103, Theatrixx xVision Konverter Glasfaser S3 - 3G-SDI, Theatrixx, 6
K2007, Frankfurt Veranstaltungstechnik GmbH, Kaiserstraße 25, Frankfurt, DE, 60311, https://frankfurt-veranstaltungstechnik.de, +49 69 3456789, kontakt@frankfurt-veranstaltungstechnik.de
559-3065-0210, Green-GO WAA Antenne, Green-GO, 6
505-4001-0200, MDG Atmosphere ATMe, MDG, 2
559-3065-0950, Green-GO BCN BEACON Signalleuchte, Green-GO, 8
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 25
599-3000-0160, Green Hippo Hippotizer TAGUS MX Medienserver, Green Hippo, 1
K2008, LightEquipment Frankfurt, Taunusstraße 8, Frankfurt, DE, 60329, https://lightequipment-frankfurt.de, +49 69 9876543, info@lightequipment-frankfurt.de
559-3065-0150, Green-GO MCXDEXT 24 Kanal Tischerweiterung, Green-GO, 4
498-3200-0065, SRS DC6-5-JR 6 Kanal DMX-Lichtstellpult, SRS, 5
544-1611-0210, Vari-Lite VL2600 SE Wash Movinglight, Vari-Lite, 12
596-8002-0500, Theatrixx Konverter 4-fach DP1.2 auf Quad 3G-SDI, Theatrixx, 3
K2009, StageTec Köln GmbH, Ehrenstraße 30, Köln, DE, 50672, https://stagetec-koeln.de, +49 221 5566778, info@stagetec-koeln.de
559-3065-0135, Green-GO MCX 19" Rackstation, 1HE, Green-GO, 7
505-4002-0780, MDG Me8, MDG, 4
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 18
596-8002-1070, Theatrixx Modulsystem Konverter 12G-SDI auf HDMI 2.0, Theatrixx, 5
K2010, LightRental Köln, Venloer Straße 250, Köln, DE, 50823, https://lightrental-koeln.de, +49 221 9988776, kontakt@lightrental-koeln.de
511-5081-0237, SR1 324 M1-A20, Stagemaker, 6
559-3065-0915, Green-GO BRIDGEX 19" Netzwerk-Interface, Green-GO, 2
505-4002-0720, MDG Me2, MDG, 3
544-1613-0700, Vari-Lite VL3600 PROFILE IP Movinglight, Touringversion, Vari-Lite, 7
599-3000-0051, Green Hippo Hippotizer Nevis+, Green Hippo, 2
K2011, EventRental Stuttgart GmbH, Flughafenstraße 52, Stuttgart, DE, 70629, https://eventrental-stuttgart.de, +49 711 3344556, info@eventrental-stuttgart.de
511-5083-3310, Stagemaker SL10 508 m1 A20 500 kg D8 Plus, Stagemaker, 8
559-3065-0030, Green-GO BPX Beltpack, Green-GO, 14
596-8002-0102, Theatrixx xVision Konverter Glasfaser S2 - 3G-SDI, Theatrixx, 5
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 20
K2012, StageCrew Stuttgart, Theodor-Heuss-Straße 23, Stuttgart, DE, 70174, https://stagecrew-stuttgart.de, +49 711 8877665, kontakt@stagecrew-stuttgart.de
505-4090-1000, MDG theFAN, MDG, 5
559-3065-0906, Green-GO Si4WR 4-Draht Interface, Green-GO, 3
544-1611-0210, Vari-Lite VL2600 SE Wash Movinglight, Vari-Lite, 8
599-3000-0160, Green Hippo Hippotizer TAGUS MX Medienserver, Green Hippo, 2
K2013, StageSystem Nürnberg, Burgstraße 27, Nürnberg, DE, 90403, https://stagesystem-nuernberg.de, +49 911 2233445, info@stagesystem-nuernberg.de
559-3065-0201, Green-GO WBPX Wireless Beltpack, Green-GO, 9
511-5083-3331, Stagemaker SL10 1004 m2 A20 1.000 kg D8 Plus, Stagemaker, 2
544-1613-0700, Vari-Lite VL3600 PROFILE IP Movinglight, Touringversion, Vari-Lite, 6
596-8002-0500, Theatrixx Konverter 4-fach DP1.2 auf Quad 3G-SDI, Theatrixx, 3
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 15
K2014, Dresden EventTechnik GmbH, Hauptstraße 15, Dresden, DE, 01097, https://dresden-eventtechnik.de, +49 351 3344556, info@dresden-eventtechnik.de
559-3065-0210, Green-GO WAA Antenne, Green-GO, 7
505-4001-0200, MDG Atmosphere ATMe, MDG, 3
544-1611-0210, Vari-Lite VL2600 SE Wash Movinglight, Vari-Lite, 9
596-8002-1070, Theatrixx Modulsystem Konverter 12G-SDI auf HDMI 2.0, Theatrixx, 4
K2015, AV-Tech Dresden, Striezelmarkt 10, Dresden, DE, 01067, https://av-tech-dresden.de, +49 351 8877665, kontakt@av-tech-dresden.de
559-3065-0950, Green-GO BCN BEACON Signalleuchte, Green-GO, 4
498-3200-0065, SRS DC6-5-JR 6 Kanal DMX-Lichtstellpult, SRS, 6
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 12
599-3000-0051, Green Hippo Hippotizer Nevis+, Green Hippo, 2
K2016, EventSound Leipzig, Augustusplatz 9, Leipzig, DE, 04109, https://eventsound-leipzig.de, +49 341 2233445, info@eventsound-leipzig.de
